,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL
10,Engineer II Data Science,-1,"Chat-Bot models to auto-answer searches and typed questions from agents. Two (2) years in any occupation with experience in Information Systems, or related must……
Skills: TensorFlow, Data mining, R, Machine learning, APIs",3.7,Foundever,Remote,10000+ Employees,1994,Company - Private,Telecommunications Services,Telecommunications,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/engineer-ii-data-science-foundever-JV_KO0,24_KE25,34.htm?jl=1009329655354"
11,Data Engineer,$130K - $150K (Employer est.),"The Data Engineer role will be the technical liaison between multiple groups including a data science team, the engineering team, product management, and……
Skills: Data modeling, Microsoft Excel, Management, Relational databases, Data structures",4.0,"Integrated Specialty Coverages, LLC",Remote,Unknown,--,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-engineer-integrated-specialty-coverages-llc-JV_KO0,13_KE14,48.htm?jl=1009380839613"
12,Data Scientist,$110K - $125K (Employer est.),"This position will play a critical role in interacting with engineering and clinical teams, healthcare payer executives, managers, and frontline staff users,……
Skills: TensorFlow, Spark, Laboratory experience, Java, SQL",3.5,Evolent Health,Remote,1001 to 5000 Employees,2011,Company - Public,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),"https://www.glassdoor.com/job-listing/data-scientist-evolent-health-JV_KO0,14_KE15,29.htm?jl=1009380890114"
13,Associate Performance Data Scientist,$66K - $70K (Employer est.),"As needed, assist with developing and validating new algorithms, analysis tools, and predictive models. The associate develops tools to optimize performance……
Skills: Cloud infrastructure, R, HIPAA, SQL, AWS",2.7,United States Olympic & Paralympic Committee,Remote,501 to 1000 Employees,1894,Nonprofit Organization,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/associate-performance-data-scientist-united-states-olympic-paralympic-committee-JV_KO0,36_KE37,79.htm?jl=1009380963485"
14,Data Scientist,$110K - $200K (Employer est.),"3+ years of experience in working in the field of data analysis or 2+ years of experience in data science building ML models.…
Skills: TensorFlow, Software deployment, R, Data analysis skills, Databases",3.8,"Ingenio, LLC",Remote,201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),"https://www.glassdoor.com/job-listing/data-scientist-ingenio-llc-JV_KO0,14_KE15,26.htm?jl=1009280758047"
15,Data Science Consultant (Remote),$63K - $117K (Glassdoor est.),"Our technical assistance and applied research develop trusted electoral bodies capable of conducting credible elections; effective and accountable governing……
Skills: ArcGIS, French, Google Suite, Warehouse management system, English",3.4,International Foundation for Electoral Systems,"Arlington, VA",201 to 500 Employees,1987,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $100 million (USD),"https://www.glassdoor.com/job-listing/data-science-consultant-remote-international-foundation-for-electoral-systems-JV_IC1130337_KO0,30_KE31,77.htm?jl=1009379583685"
16,Data Scientist,$99K - $119K (Employer est.),"BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred.…
Skills: Statistics, Data mining, Business intelligence, R, Tableau",-1,Career Vest,Remote,-1,-1,-1,-1,-1,-1,"https://www.glassdoor.com/job-listing/data-scientist-career-vest-JV_KO0,14_KE15,26.htm?jl=1009379447437"
17,Architect - Data Science,$100K - $101K (Employer est.),"Experience in predictive, prescriptive, and descriptive settings using data science tools and technologies. Clearly communicate technical details to technical……
Skills: Azure, Spark, Machine learning, Scala, APIs",3.8,3Cloud,"Downers Grove, IL",501 to 1000 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/architect-data-science-3cloud-JV_IC1128825_KO0,22_KE23,29.htm?jl=1009361558822"
18,Data Science Instructor,$45K - $65K (Employer est.),"Design and develop a comprehensive Data Science bootcamp curriculum covering all essential topics, including data analysis, machine learning, data visualization……
Skills: R, SQL, Machine learning, Data science, Communication skills",3.0,SV Camp,Remote,51 to 200 Employees,2018,Company - Private,Other Retail Stores,Retail & Wholesale,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-science-instructor-sv-camp-JV_KO0,23_KE24,31.htm?jl=1009332744348"
19,24-25 Full-Time Lecturer of Statistics & Data Science,$89K - $97K (Employer est.),"Ideal candidates will have a Ph.D. in Statistics (or a closely related field) by the start of appointment, a demonstrated excellence in teaching, knowledge of……
Skills: Statistics, EDI, R, Higher education teaching, Teaching",4.2,UCLA,"Los Angeles, CA",1001 to 5000 Employees,1919,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),"https://www.glassdoor.com/job-listing/24-25-full-time-lecturer-of-statistics-data-science-ucla-JV_IC1146821_KO0,51_KE52,56.htm?jl=1009376354425"
20,Senior Data Analyst - Remote,$75K - $110K (Employer est.),"Bachelor's degree in a quantitative field (e.g. computer science or natural sciences) and/or equivalent experience. 8 hours paid volunteer time annually.…
Skills: Computer science, Power BI, Ansible, Customer service, Tableau",4.0,East West,"Avon, CO",1001 to 5000 Employees,1986,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,$25 to $100 million (USD),"https://www.glassdoor.com/job-listing/senior-data-analyst-remote-east-west-JV_IC1148214_KO0,26_KE27,36.htm?jl=1009380906281"
21,Data Science Manager,$96K - $156K (Glassdoor est.),"Encourages innovation within the team to explore new data science techniques and tools. Stakeholder Engagement: Acts as a liaison between the data science team……
Skills: Data modeling, Statistical analysis, Machine learning, Team management, Predictive analytics",4.0,Boston Children's Hospital,"Boston, MA",5001 to 10000 Employees,1869,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-science-manager-boston-children-s-hospital-JV_IC1154532_KO0,20_KE21,47.htm?jl=1009380478339"
22,Data Scientist,$82K - $175K (Employer est.),"Work with a team of high-performing analytics, data science professionals, and cross-functional teams to identify business opportunities and develop algorithms……
Skills: Computer science, Data mining, Spark, R, Research",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-microsoft-JV_IC1150499_KO0,14_KE15,24.htm?jl=1009377529443"
23,"Data Scientist, 1+ Years of Experience",$97K - $145K (Employer est.),"1+ years of experience in quantitative analysis & data science or a related field. BS/BA degree in statistics, mathematics, economics, computer science,……
Skills: Data modeling, Data mining, Social media management, Big data, R",3.5,Snapchat,"Los Angeles, CA",5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-1-years-of-experience-snapchat-JV_IC1146821_KO0,36_KE37,45.htm?jl=1009376080477"
24,Data Science Lead,$131K - $181K (Glassdoor est.),"Ability to articulate complex ideas clearly in both technical and non-technical professional contexts is critical. Develop an understanding of all solutions.…
Skills: TensorFlow, SQL, Analysis skills, Machine learning, SDKs",4.5,Further,"Atlanta, GA",1 to 50 Employees,2007,Company - Private,Advertising & Public Relations,Media & Communication,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/data-science-lead-further-JV_IC1155583_KO0,17_KE18,25.htm?jl=1009324191188"
25,"Professional, Data Science",$70K - $120K (Employer est.),"Excellent communication and presentation skills, with the ability to convey technical concepts to non-technical stakeholders. Strong knowledge of Excel and SQL.…
Skills: Statistical software, Power BI, Microsoft Excel, R, Data analysis skills",3.9,"US AMR-Jones Lang LaSalle Americas, Inc.","Dallas, TX",10000+ Employees,--,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/professional-data-science-us-amr-jones-lang-lasalle-americas-inc-JV_IC1139977_KO0,25_KE26,64.htm?jl=1009380578530"
26,"Data Science Analyst, Audience Insights",$115K - $120K (Employer est.),"Degree in an analytical field (e.g. mathematics, statistics, marketing analytics, data analytics, computer science, etc.) or equivalent practical experience.…
Skills: Computer science, R, Data analysis skills, SQL, Analysis skills",3.8,Radancy,Remote,1001 to 5000 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/data-science-analyst-audience-insights-radancy-JV_KO0,38_KE39,46.htm?jl=1009380416558"
27,"Manager, Data Science",$154K - $220K (Employer est.),"The ideal candidate will have experience with growing and managing a data science team within a product company with capability of bringing clear understanding……
Skills: Growing experience, MATLAB, Data mining, Big data, R",3.4,ServiceTitan,Remote,1001 to 5000 Employees,2013,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/manager-data-science-servicetitan-JV_KO0,20_KE21,33.htm?jl=1009376000355"
28,"Talent Sourcer, Data Analysis",-1,"Demonstrated understanding of various engineering roles in technology, including software engineering, hardware engineering, data centers, and/or security, with……
Skills: Power BI, Business intelligence, ATS, Talent acquisition, HR sourcing",4.2,Microsoft,United States,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/talent-sourcer-data-analysis-microsoft-JV_KO0,28_KE29,38.htm?jl=1009379431947"
29,Basketball Data Science & Scheduling Lead,$180K - $240K (Employer est.),"Experience with modeling (e.g., Excel), scripting languages (e.g. R or Python) and data visualization tools (e.g. Shiny or Tableau).…
Skills: Microsoft Excel, Management, R, Tableau, Project management",3.9,the NBA,"New York, NY",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/basketball-data-science-scheduling-lead-the-nba-JV_IC1132348_KO0,39_KE40,47.htm?jl=1009318847533"
30,Data Scientist,$98K - $209K (Employer est.),"Master's Degree in Data Science, Mathematics, Statistics, Computer Science, or related field AND 3+ years data-science experience (e.g., managing structured and……
Skills: C#, Java, C++, C, Machine learning",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-microsoft-JV_IC1150499_KO0,14_KE15,24.htm?jl=1009377529310"
31,Data Science Program Instructor - UCLA Extension,$4K (Employer est.),"Minimum MS degree in computer science, statistics, Information Technology or applied science. Employ culturally competent teaching methodologies in the……
Skills: Machine learning, Data management, IT, Data science, Communication skills",4.2,UCLA,"Los Angeles, CA",1001 to 5000 Employees,1919,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),"https://www.glassdoor.com/job-listing/data-science-program-instructor-ucla-extension-ucla-JV_IC1146821_KO0,46_KE47,51.htm?jl=1009373332328"
32,Data Scientist 2,$87K - $119K (Employer est.),"Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed.…
Skills: Statistics, SAS, Analysis skills, Data analytics, Python",3.8,Humana,Remote,10000+ Employees,1961,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-2-humana-JV_KO0,16_KE17,23.htm?jl=1009379275029"
33,"Data Engineer, People Analytics",$145K - $193K (Glassdoor est.),"A bachelor's degree in Computer Science, Data Science, Engineering, or a related field; Effectively communicate complex technical concepts to non-technical……
Skills: CI/CD, Data modeling, Relational databases, Google Cloud Platform, SQL",3.5,SoFi,"San Francisco, CA",1001 to 5000 Employees,2011,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-engineer-people-analytics-sofi-JV_IC1147401_KO0,30_KE31,35.htm?jl=1009376338575"
34,Consultant - Data Science,-1,"Develop new statistical models as well as provide analysis using existing models. Experience in tools like Pyspark, SQl, Big Query.…
Skills: Data mining, Sales, SAS, R, Data analysis skills",3.7,Trinity Life Sciences,Indiana,1001 to 5000 Employees,1996,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/consultant-data-science-trinity-life-sciences-JV_KO0,23_KE24,45.htm?jl=1009366010265"
35,Senior Data Analyst,$130K - $145K (Employer est.),"You will scrub, validate, and develop databases of master data. You will develop and maintain company-wide KPIs and dashboards.…
Skills: Tableau, SQL, Data analytics, Data visualization, Python",2.6,Truepill,Remote,501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-data-analyst-truepill-JV_KO0,19_KE20,28.htm?jl=1009381275687"
36,Data Scientist II,$98K - $209K (Employer est.),"OR Bachelor's Degree in Data Science, Mathematics, Statistics, Econometrics, Economics, Operations Research, Computer Science, or related field AND 2+ years……
Skills: Big data, Data structures, C#, Research, Java",4.2,Microsoft,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-ii-microsoft-JV_IC1150499_KO0,17_KE18,27.htm?jl=1009367790742"
37,Head of Data,$162K - $297K (Employer est.),"Degree in Computer Science, Statistics, Informatics, Information Systems, or another quantitative field. Strategic Advisory: Act as a key strategic advisor to……
Skills: Management, Product management, Data science, Leadership, Communication skills",3.6,Lime,Remote,501 to 1000 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/head-of-data-lime-JV_KO0,12_KE13,17.htm?jl=1009380788754"
38,Data Scientist MTS DnR Data Science,$138K - $209K (Employer est.),"Minimum Requirements : Master’s degree, or foreign equivalent, in Computer Science, Engineering, or closely related quantitative discipline, and two (2) years……
Skills: TensorFlow, MATLAB, Big data, R, Java",4.1,Salesforce,"Bellevue, WA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-mts-dnr-data-science-salesforce-JV_IC1150442_KO0,35_KE36,46.htm?jl=1009369807474"
39,Carrier Optimization & Analytics Specialist,-1,"Data-Driven Decision Making: Ability to analyze data, develop insights, and implement changes based on findings.…
Skills: Power BI, R, Data analysis skills, Tableau, SQL",2.5,Insurify,Remote,51 to 200 Employees,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/carrier-optimization-analytics-specialist-insurify-JV_KO0,41_KE42,50.htm?jl=1009327909151"
40,Data Science Specialist,$70K - $116K (Glassdoor est.),"Master’s Degree in data analytics, data science, computer science, statistics, engineering, economics or related field. Proficiency in Python for data analysis.…
Skills: Power BI, D3.js, SAS, Customer service, R",4.2,Tufts University,"Somerville, MA",1001 to 5000 Employees,1852,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-science-specialist-tufts-university-JV_IC1154685_KO0,23_KE24,40.htm?jl=1009357200745"
41,Data Scientist II,$140K - $161K (Employer est.),"Minimum Requirements: Master’s degree, or foreign equivalent, in Computer Science, Engineering, or closely related quantitative discipline, and one (1) year of……
Skills: TensorFlow, Go, Kubernetes, SAS, Load balancing",3.9,f5,"Seattle, WA",5001 to 10000 Employees,1996,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-ii-f5-JV_IC1150505_KO0,17_KE18,20.htm?jl=1009368214943"
42,Manager Data Analytics,$122K - $150K (Employer est.),"We create innovative products and experiences that inspire fans, entertain audiences and develop children through play.…
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Data mining, SAS",3.7,Mattel,"El Segundo, CA",10000+ Employees,1945,Company - Public,Consumer Product Manufacturing,Manufacturing,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/manager-data-analytics-mattel-JV_IC1146779_KO0,22_KE23,29.htm?jl=1009320712970"
43,Analytics Engineer,$108K - $154K (Employer est.),"Work with engineering and product to proactively understand changes in data that will impact analytics data infrastructure.…
Skills: Tableau, SQL, APIs, Unit testing, Data visualization",4.0,Spotify,"New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/analytics-engineer-spotify-JV_IC1132348_KO0,18_KE19,26.htm?jl=1009380355192"
44,"Data Science Manager, Shopper",$148K - $304K (Employer est.),"Each of them brings its own complexity and challenges which will provide exposure to a wide variety of data science problems to solve.…
Skills: Product development, Machine learning, Continuous improvement, Team management, Data science",4.0,Pinterest,"San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/data-science-manager-shopper-pinterest-JV_IC1147401_KO0,28_KE29,38.htm?jl=1009337722494"
45,Sr. Associate Data Scientist,$83K - $138K (Employer est.),"JOB DUTIES: Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions; Identify……
Skills: Power BI, Data mining, R, SQL, Statistical analysis",3.8,McKesson,"Irving, TX",10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-associate-data-scientist-mckesson-JV_IC1140006_KO0,27_KE28,36.htm?jl=1009378674239"
46,AI Data Annotator,-1,"Practical experience with annotation tools and software. Data Annotators carry out their work in an engineering development environment.…
Skills: French, Spanish, Word processing, English, Research",3.6,Vistatec,United States,201 to 500 Employees,--,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),"https://www.glassdoor.com/job-listing/ai-data-annotator-vistatec-JV_KO0,17_KE18,26.htm?jl=1009372371202"
47,Data Scientist,-1,"Data Visualization: Create clear and informative visualizations to communicate complex data findings to both technical and non-technical stakeholders.…
Skills: Clinical research, English, Research, SQL, AWS",3.2,Clario,Remote,5001 to 10000 Employees,1972,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-clario-JV_KO0,14_KE15,21.htm?jl=1009380497966"
48,Data & Analytics Analyst,$72K - $96K (Glassdoor est.),"Bachelor’s degree - natural science (e.g. biology, chemistry) or quantitative field (e.g. data science) preferred but not required.…
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Office, Data science",4.5,TruDataRx,"Norwich, VT",Unknown,--,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-analytics-analyst-trudatarx-JV_IC1141838_KO0,22_KE23,32.htm?jl=1009380914478"
49,Analytics Associate,$90K - $115K (Employer est.),"They will work closely with highly experienced leaders in designing, developing, and implementing cutting-edge analytics solutions for a variety of business……
Skills: TensorFlow, Performance tuning, Big data, Software deployment, R",-1,Zenon,Remote,-1,-1,-1,-1,-1,-1,"https://www.glassdoor.com/job-listing/analytics-associate-zenon-JV_KO0,19_KE20,25.htm?jl=1009375743081"
50,Adjunct Professor of Data Science,-1,"At Houston Christian University adjunct faculty members play a crucial role in delivering high-quality and innovative instruction, fostering meaningful……
Skills: Data mining, Management, R, Data science, Higher education teaching",3.6,Houston Christian University,Remote,201 to 500 Employees,1960,College / University,Colleges & Universities,Education,$25 to $100 million (USD),"https://www.glassdoor.com/job-listing/adjunct-professor-of-data-science-houston-christian-university-JV_KO0,33_KE34,62.htm?jl=1009343592348"
51,Risk Analytics Associate II,$120K - $150K (Employer est.),"In this role, you’ll manage and improve the actuarial analysis of our insurance programs, maintain and update data science and analysis models, and use……
Skills: Power BI, Microsoft Excel, SQL, Analysis skills, Machine learning",3.7,TheGuarantors,Remote,51 to 200 Employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/risk-analytics-associate-ii-theguarantors-JV_KO0,27_KE28,41.htm?jl=1009360179462"
52,Inventory Statistician,$5K - $7K (Employer est.),"The Inventory Statistician role will be predominantly focused on statistical analysis and leading others in inventory management. Company matched 401(k) Plan.…
Skills: Microsoft Word, Statistics, Spanish, Microsoft Excel, Writing skills",-1,RPAC LLC,"Turlock, CA",-1,-1,-1,-1,-1,-1,"https://www.glassdoor.com/job-listing/inventory-statistician-rpac-llc-JV_IC1146959_KO0,22_KE23,31.htm?jl=1009380988442"
53,Data Science Principal,$172K - $258K (Employer est.),"Bachelor's degree or higher in computer science, statistics, mathematics, engineering, or a related field. Proficient in Python, R, SQL, and other programming……
Skills: Big data, R, Data analysis skills, SQL, Analysis skills",3.9,UST Global,Remote,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-science-principal-ust-global-JV_KO0,22_KE23,33.htm?jl=1009358967300"
54,Data Scientist,$63K - $98K (Employer est.),"A. Degree: Mathematics, statistics, computer science, data science or field directly related to the position. Designs, develops and implements computational and……
Skills: R, Statistical analysis, Machine learning, Regression analysis, Data science",3.7,US Office of Personnel Management,Remote,1001 to 5000 Employees,1979,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/data-scientist-us-office-of-personnel-management-JV_KO0,14_KE15,48.htm?jl=1009381407583"
55,Data Science Manager,$137K - $255K (Employer est.),"Driving multiple technical and data-related projects of varying scopes and complexities. Experience in analytics, strategic marketing, planning, and financial……
Skills: CRM software, Google Suite, Microsoft Excel, Data mining, Customer retention",3.8,Verizon,"Basking Ridge, NJ",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),"https://www.glassdoor.com/job-listing/data-science-manager-verizon-JV_IC1126687_KO0,20_KE21,28.htm?jl=1009366489439"
56,Data Scientist,$96K - $144K (Employer est.),"Tracks and reports own progress, dependencies, and challenges diligently. Designs small-scale solutions and collaborates effectively with other technical……
Skills: CI/CD, Power BI, Microsoft Excel, Data mining, Business intelligence",3.9,Western Governors University,Remote,5001 to 10000 Employees,1997,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),"https://www.glassdoor.com/job-listing/data-scientist-western-governors-university-JV_KO0,14_KE15,43.htm?jl=1009375987428"
57,"Supervisor, Data Labeling",$40K - $72K (Glassdoor est.),"Work directly with engineers and Autopilot leadership and own annotation policies that require an understanding of both technical and operational constraints.…
Skills: Jira, Microsoft Excel, Confluence, Kronos, Leadership",3.5,Tesla,"Draper, UT",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/supervisor-data-labeling-tesla-JV_IC1128274_KO0,24_KE25,30.htm?jl=1009340365295"
58,Analytics Engineer,$110K - $157K (Employer est.),"You will work closely with our product, engineering, and business teams to develop, maintain, and optimize our data infrastructure and analytics capabilities.…
Skills: Google Cloud Platform, SQL, AWS, Machine learning, PostgreSQL",3.8,Revive,Remote,Unknown,--,Unknown,Beauty & Personal Accessories Stores,Retail & Wholesale,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/analytics-engineer-revive-JV_KO0,18_KE19,25.htm?jl=1009350766770"
